"Date","Troops","Police","Experts"
1990-11-30,5,NA,NA
1990-12-31,5,NA,NA
1991-01-31,5,NA,NA
1991-02-28,5,NA,NA
1991-03-31,5,NA,NA
1991-04-30,5,NA,NA
1991-05-31,5,NA,NA
1991-06-30,5,NA,NA
1991-07-31,5,NA,NA
1991-08-31,5,NA,NA
1991-09-30,30,NA,NA
1991-10-31,30,NA,NA
1991-11-30,30,NA,NA
1991-12-31,76,NA,NA
1992-01-31,91,NA,NA
1992-02-29,90,NA,NA
1992-03-31,70,NA,NA
1992-04-30,41,NA,NA
1992-05-31,41,NA,NA
1992-06-30,41,NA,NA
1992-07-31,41,NA,NA
1992-08-31,69,NA,11
1992-09-30,56,NA,11
1992-10-31,55,NA,11
1992-11-30,54,NA,11
1992-12-31,43,NA,11
1993-01-31,41,NA,11
1993-02-28,40,NA,11
1993-03-31,41,NA,11
1993-04-30,39,NA,11
1993-05-31,42,NA,11
1993-06-30,49,NA,13
1993-07-31,39,5,15
1993-08-31,40,6,15
1993-09-30,41,6,14
1993-10-31,42,6,16
1993-11-30,42,6,17
1993-12-31,42,6,13
1994-01-31,41,6,15
1994-02-28,41,6,16
1994-03-31,38,6,16
1994-04-30,39,9,15
1994-05-31,40,9,17
1994-06-30,11,12,16
1994-07-31,12,12,16
1994-08-31,2,9,16
1994-09-30,2,9,16
1994-10-31,6,9,12
1994-11-30,6,6,11
1994-12-31,6,6,13
1995-01-31,6,6,13
1995-02-28,NA,6,19
1995-03-31,NA,6,20
1995-04-30,NA,6,21
1995-05-31,NA,6,23
1995-06-30,NA,6,23
1995-07-31,NA,6,23
1995-08-31,NA,6,23
1995-09-30,NA,9,24
1995-10-31,NA,9,24
1995-11-30,NA,9,23
1995-12-31,NA,9,23
1996-01-31,NA,6,25
1996-02-29,NA,11,24
1996-03-31,NA,11,22
1996-04-30,NA,11,21
1996-05-31,NA,11,22
1996-06-30,NA,11,22
1996-07-31,NA,11,22
1996-08-31,NA,14,22
1996-09-30,NA,10,20
1996-10-31,NA,10,21
1996-11-30,NA,10,22
1996-12-31,NA,10,21
1997-01-31,NA,10,22
1997-02-28,NA,8,23
1997-03-31,NA,8,22
1997-04-30,NA,10,22
1997-05-31,NA,10,22
1997-06-30,NA,10,22
1997-07-31,NA,10,22
1997-08-31,NA,9,22
1997-09-30,NA,9,23
1997-10-31,NA,9,22
1997-11-30,NA,9,22
1997-12-31,NA,8,22
1998-01-31,NA,8,19
1998-02-28,NA,10,23
1998-03-31,NA,8,21
1998-04-30,NA,6,21
1998-05-31,NA,9,20
1998-06-30,NA,9,19
1998-07-31,NA,9,18
1998-08-31,NA,9,18
1998-09-30,NA,9,18
1998-10-31,NA,6,13
1998-11-30,NA,6,13
1998-12-31,NA,6,13
1999-01-31,NA,6,12
1999-02-28,NA,6,13
1999-03-31,NA,4,13
1999-04-30,NA,4,13
1999-05-31,NA,4,12
1999-06-30,1,4,13
1999-07-31,1,4,13
1999-08-31,1,4,14
1999-09-30,NA,6,14
1999-10-31,NA,56,15
1999-11-30,NA,56,15
1999-12-31,NA,6,17
2000-01-31,NA,6,17
2000-02-28,NA,6,16
2000-03-31,NA,6,16
2000-04-30,NA,12,17
2000-05-31,NA,2,17
2000-06-30,NA,12,18
2000-07-31,NA,12,16
2000-08-31,NA,12,16
2000-09-30,NA,12,16
2000-10-31,NA,17,16
2000-11-30,NA,17,18
2000-12-31,NA,16,18
2001-01-31,1,16,19
2001-02-28,1,16,19
2001-03-31,1,14,19
2001-04-30,1,19,19
2001-05-31,1,19,19
2001-06-30,NA,19,21
2001-07-31,1,19,19
2001-08-31,1,19,19
2001-09-30,1,15,19
2001-10-31,1,14,18
2001-11-30,1,14,19
2001-12-31,1,14,20
2002-01-31,1,13,20
2002-02-28,1,13,20
2002-03-31,1,13,20
2002-04-30,1,17,20
2002-05-31,1,17,20
2002-06-30,1,17,20
2002-07-31,1,17,20
2002-08-30,1,17,20
2002-09-30,2,18,20
2002-10-31,2,15,20
2002-11-30,2,15,19
2002-12-31,2,9,20
